"","price","year","mileage","fuel","region","engine"
"1",49999,8,259000,"Diesel","(Œwiêtokrzyskie)",1968
"2",92127,4,36500,"Benzyna","(Œwiêtokrzyskie)",1984
"3",22500,15,127000,"Diesel","(Mazowieckie)",1968
"4",15700,16,213750,"Diesel","(Kujawsko-pomorskie)",1968
"5",114900,2,31000,"Benzyna","(Kujawsko-pomorskie)",1984
"6",28999,14,163000,"Benzyna","(Mazowieckie)",1781
"7",21900,14,278800,"Diesel","(Wielkopolskie)",1968
"8",109900,3,89737,"Diesel","(£ódzkie)",1968
"9",61600,7,160000,"Diesel","(Dolnoœl¹skie)",1968
"10",37500,11,125000,"Benzyna","(Warmiñsko-mazurskie)",1798
"11",11500,19,116500,"Benzyna","(Mazowieckie)",1984
"12",189900,2,7057,"Diesel","(Ma³opolskie)",1968
"13",51000,7,199000,"Diesel","(Pomorskie)",1968
"14",15999,19,242000,"Benzyna","(Warmiñsko-mazurskie)",2393
"15",17999,13,230000,"Benzyna","(Wielkopolskie)",1984
"16",97900,4,62828,"Benzyna","(£ódzkie)",1395
"17",21400,18,245000,"Benzyna","(Podkarpackie)",1781
"18",89900,5,69400,"Diesel","(Dolnoœl¹skie)",1968
"19",69495,4,179000,"Diesel","(Mazowieckie)",1968
"20",36900,10,230000,"Diesel","(Opolskie)",1968
"21",47900,7,111300,"Diesel","(£ódzkie)",1968
"22",16000,15,290000,"Diesel","(Wielkopolskie)",1968
"23",53000,7,149811,"Benzyna","(Ma³opolskie)",1984
"24",60400,6,194000,"Diesel","(Opolskie)",1968
"25",18900,18,240000,"Benzyna","(Mazowieckie)",1781
"26",14500,15,3e+05,"Diesel","(Zachodniopomorskie)",1968
"27",5900,21,312000,"Diesel","(Kujawsko-pomorskie)",1896
"28",64900,6,103000,"Diesel","(Dolnoœl¹skie)",1968
"29",26480,14,221503,"Benzyna","(Mazowieckie)",1781
"30",13900,15,272000,"Diesel","(Mazowieckie)",1968
"31",27999,12,246440,"Diesel","(Œwiêtokrzyskie)",1968
"32",34600,11,198000,"Diesel","(Ma³opolskie)",1968
"33",16500,14,267000,"Diesel","(Mazowieckie)",1968
"34",61900,5,88000,"Benzyna","(Podkarpackie)",1984
"35",39900,9,244800,"Diesel","(Ma³opolskie)",1968
"36",29600,11,238510,"Benzyna","(Zachodniopomorskie)",1984
"37",89900,4,198000,"Diesel","(Œwiêtokrzyskie)",1968
"38",29900,12,255846,"Diesel","(Pomorskie)",1968
"39",50900,7,70000,"Benzyna","(Ma³opolskie)",1984
