"","waluta","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Uszkodzony","Typ","Liczba drzwi","Liczba miejsc","Kolor","Metalik","Zarejestrowany w Polsce","Stan","Per³owy","Kraj pochodzenia","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Serwisowany w ASO","VAT mar¿a","Mo¿liwoœæ finansowania","Faktura VAT","Bezwypadkowy","Leasing","Tuning","Pierwszy w³aœciciel","Generacja","Akryl (niemetalizowany)","Emisja CO2","Filtr cz¹stek sta³ych","Zarejestrowany jako zabytek","Gwarancja dealerska (w cenie)","Matowy","lub do (przebieg km)","VIN","Miesiêczna rata","Okres gwarancji producenta","Homologacja ciê¿arowa","Warranty if agreed with the buyer"
"1:1","PLN","36 900","Firmy","Osobowe","Acura","MDX","3.7 V6 Base","2007","152 000 km","3 664 cm3","Benzyna","300 KM","Automatyczna","4x4 (do³¹czany automatycznie)","Tak","SUV","5","5","Szary","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2","PLN","59 900","Osoby prywatnej","Osobowe","Acura","MDX",NA,"2010","110 000 km","3 664 cm3","Benzyna","315 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","7","Bia³y",NA,"Tak","U¿ywane","Tak","Stany Zjednoczone","01/01/2010","KR1G925","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:3","PLN","83 900","Osoby prywatnej","Osobowe","Acura","MDX",NA,"2012","79 000 km","3 700 cm3","Benzyna","300 KM","Automatyczna","4x4 (sta³y)",NA,"SUV","5","7","Czarny","Tak","Tak","U¿ywane",NA,"Stany Zjednoczone",NA,NA,NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:4","PLN","112 500","Osoby prywatnej","Osobowe","Acura","MDX",NA,"2014","103 000 km","3 500 cm3","Benzyna","300 KM","Automatyczna","4x4 (sta³y)",NA,"SUV","5","7","Bia³y",NA,"Tak","U¿ywane","Tak","Stany Zjednoczone",NA,NA,NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:5","PLN","5 000","Firmy","Osobowe","Acura","CL",NA,"2013","128 801 km","1 248 cm3","Diesel","75 KM","Manualna",NA,NA,"Auta ma³e",NA,NA,"Bia³y",NA,"Tak","U¿ywane",NA,NA,"27/09/2013","GD192GL",NA,NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:6","PLN","57 900","Firmy","Osobowe","Acura","RDX",NA,"2013","190 000 km","3 500 cm3","Benzyna","270 KM","Automatyczna","Na przednie ko³a",NA,"SUV","5","5","Bia³y",NA,NA,"U¿ywane","Tak","Niemcy",NA,NA,NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:7","PLN","54 999","Firmy","Osobowe","Acura","RL",NA,"2010","130 000 km","3 700 cm3","Benzyna+LPG","310 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan","4","5","Szary","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,"Tak","Tak",NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:8","PLN","74 000","Osoby prywatnej","Osobowe","Acura","RDX",NA,"2014","56 000 km","3 471 cm3","Benzyna","201 KM","Automatyczna","4x4 (sta³y)",NA,"SUV","4","5","Bia³y",NA,NA,"U¿ywane",NA,"Stany Zjednoczone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:9","PLN","67 650","Firmy","Osobowe","Acura","TL",NA,"2013","97 000 km","3 664 cm3","Benzyna","305 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan","5","5","Bia³y",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:10","PLN","52 000","Osoby prywatnej","Osobowe","Acura","MDX",NA,"2009","298 000 km","3 664 cm3","Benzyna","300 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","7","Bia³y",NA,NA,"U¿ywane","Tak","Niemcy","31/12/2009","KLAR65",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:11","PLN","45 900","Firmy","Osobowe","Acura","TSX",NA,"2012","150 000 km","2 354 cm3","Benzyna","201 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","5","5","Srebrny","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,"Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:12","PLN","125 000","Osoby prywatnej","Osobowe","Acura","MDX",NA,"2014","118 000 km","3 500 cm3","Benzyna","300 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5","7","Czarny","Tak","Tak","U¿ywane",NA,"Stany Zjednoczone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:13","PLN","91 000","Osoby prywatnej","Osobowe","Acura","MDX",NA,"2014","110 000 km","3 664 cm3","Benzyna","300 KM","Automatyczna","4x4 (sta³y)",NA,"SUV","5","7","Szary","Tak","Tak","U¿ywane",NA,"Stany Zjednoczone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:14","PLN","12 900","Firmy","Osobowe","Audi","80",NA,"1990","173 299 km","1 760 cm3","Benzyna","90 KM","Automatyczna",NA,NA,"Sedan","4","5","Srebrny","Tak",NA,"U¿ywane",NA,NA,"17/05/1990","A-CL463","Tak","Tak",NA,NA,"Tak",NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:15","PLN","3 300","Osoby prywatnej","Osobowe","Audi","80","1.6","1990","304 400 km","1 595 cm3","Benzyna","69 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Czerwony",NA,"Tak","U¿ywane",NA,"Niemcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:16","PLN","19 900","Osoby prywatnej","Osobowe","Audi","100",NA,"1974","99 000 km","1 900 cm3","Benzyna","115 KM","Manualna",NA,NA,"Sedan","5",NA,"Czerwony",NA,NA,"U¿ywane",NA,NA,"01/01/1974","EDS4292",NA,NA,NA,NA,NA,NA,NA,NA,"C1 (1968-1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:17","PLN","50 000","Firmy","Osobowe","Audi","100",NA,"1974","14 626 km","1 900 cm3","Benzyna","115 KM","Manualna",NA,NA,"Sedan","5","5","Br¹zowy",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 (1968-1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:18","PLN","44 900","Osoby prywatnej","Osobowe","Audi","80",NA,"1978","2 000 km","2 300 cm3","Benzyna","300 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Bordowy","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,"B2 (1978-1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:19","PLN","6 500","Osoby prywatnej","Osobowe","Audi","80","1.8","1987","121 550 km","1 780 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Z³oty",NA,NA,"U¿ywane",NA,"Niemcy","05/11/1987","LAUZI41","Tak","Tak",NA,NA,"Tak",NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:20","PLN","18 900","Firmy","Osobowe","Audi","100",NA,"1989","133 000 km","2 300 cm3","Benzyna","136 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Czarny","Tak",NA,"U¿ywane",NA,NA,NA,NA,"Tak","Tak",NA,NA,"Tak",NA,NA,"Tak","C3 (1982-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:21","PLN","15 900","Firmy","Osobowe","Audi","Inny",NA,"1970","19 031 km","1 496 cm3","Benzyna","65 KM","Manualna","Na tylne ko³a",NA,"Sedan","2","5","Niebieski",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:22","PLN","8 999","Osoby prywatnej","Osobowe","Audi","80","1.6","1990","97 000 km","1 595 cm3","Benzyna","75 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Czerwony","Tak","Tak","U¿ywane",NA,NA,NA,NA,"Tak","Tak",NA,NA,"Tak",NA,NA,"Tak","B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:23","PLN","14 999","Firmy","Osobowe","Audi","100","Avant 2.2","1987","108 729 km","2 226 cm3","Benzyna","137 KM","Manualna","Na przednie ko³a",NA,"Sedan","5","5","Inny kolor","Tak",NA,"U¿ywane",NA,"Belgia",NA,NA,"Tak",NA,NA,NA,"Tak",NA,NA,"Tak","C3 (1982-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:24","PLN","39 900","Osoby prywatnej","Osobowe","Audi","Coupe",NA,"1985","185 000 km","1 970 cm3","Benzyna","116 KM","Manualna",NA,NA,"Coupe","2","5","Szary",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:25","PLN","16 500","Osoby prywatnej","Osobowe","Audi","80","1.6 CC D","1983","170 000 km","1 588 cm3","Diesel","54 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny",NA,NA,"U¿ywane",NA,NA,"23/08/1983","WU8622J",NA,NA,NA,NA,NA,NA,NA,NA,"B2 (1978-1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:26","EUR","55 000","Firmy","Osobowe","Audi","Inny",NA,"1982","227 359 km","2 119 cm3","Benzyna","200 KM","Manualna",NA,NA,"Coupe","3","5","Czerwony",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:27","PLN","15 000","Osoby prywatnej","Osobowe","Audi","100","2.0 E","1990","235 726 km","1 994 cm3","Benzyna","115 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Bia³y",NA,NA,"U¿ywane",NA,NA,"11/09/1990","FSD5F",NA,NA,NA,NA,NA,NA,NA,NA,"C3 (1982-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:28","PLN","16 800","Osoby prywatnej","Osobowe","Audi","80","1.8","1988","141 000 km","1 780 cm3","Benzyna","75 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Szary","Tak","Tak","U¿ywane",NA,"Niemcy",NA,NA,NA,"Tak",NA,NA,"Tak",NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:29","PLN","2 000","Osoby prywatnej","Osobowe","Audi","80","1.6 D","1987","800 000 km","1 588 cm3","Diesel","54 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Niebieski",NA,"Tak","U¿ywane",NA,"Niemcy",NA,NA,NA,NA,NA,NA,"Tak",NA,NA,"Tak","B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:30","PLN","2 499","Osoby prywatnej","Osobowe","Audi","80","1.8 S","1990","176 000 km","1 760 cm3","Benzyna","90 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Inny kolor",NA,NA,"U¿ywane",NA,NA,"01/06/1990","LTMX437",NA,NA,NA,NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:31","PLN","2 450","Firmy","Osobowe","Audi","80","1.8 S","1989","290 000 km","1 760 cm3","Benzyna","90 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Niebieski","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,"Tak","Tak",NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,"149 g/km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:32","PLN","15 900","Osoby prywatnej","Osobowe","Audi","Coupe","2.3 E","1989","160 000 km","2 309 cm3","Benzyna+LPG","133 KM","Manualna","Na przednie ko³a",NA,"Coupe","3","5","Czerwony",NA,"Tak","U¿ywane",NA,NA,NA,"SLU1RG9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:33","PLN","6 500","Osoby prywatnej","Osobowe","Audi","80","1.6 D","1987","298 720 km","1 570 cm3","Diesel","54 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Szary",NA,NA,"U¿ywane",NA,NA,"20/11/1987","GWE91YC",NA,NA,NA,NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:34","PLN","15 000","Osoby prywatnej","Osobowe","Audi","100",NA,"1987","350 000 km","2 200 cm3","Benzyna","133 KM","Manualna","Na przednie ko³a",NA,"Sedan","4",NA,"Bia³y",NA,NA,"U¿ywane",NA,NA,"01/01/1987",NA,NA,NA,"Tak",NA,"Tak",NA,NA,"Tak","C3 (1982-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:35","PLN","8 300","Osoby prywatnej","Osobowe","Audi","A6",NA,"1988","281 000 km","1 896 cm3","Diesel","110 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Niebieski","Tak",NA,"U¿ywane",NA,NA,NA,"726-ANY","Tak","Tak",NA,NA,"Tak",NA,NA,NA,"C5 (1997-2004)",NA,"189 g/km","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:36","PLN","5 200","Osoby prywatnej","Osobowe","Audi","80","1.6","1990","214 000 km","1 595 cm3","Benzyna","69 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Czerwony",NA,NA,"U¿ywane",NA,NA,"09/07/1990","ZK38027",NA,NA,NA,NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:37","PLN","8 500","Firmy","Osobowe","Audi","80","1.8 S","1989","106 132 km","1 781 cm3","Benzyna","90 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Szary","Tak",NA,"U¿ywane",NA,"Niemcy",NA,NA,"Tak","Tak",NA,NA,"Tak",NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:38","PLN","1 800","Osoby prywatnej","Osobowe","Audi","80","1.6 D","1988","354 881 km","1 588 cm3","Diesel","54 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Czerwony",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:39","PLN","32 900","Firmy","Osobowe","Audi","Inny",NA,"1970","52 119 km","1 695 cm3","Benzyna","75 KM","Manualna",NA,NA,"Kombi","3","5","Be¿owy",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,"Tak",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:40","PLN","38 900","Osoby prywatnej","Osobowe","Audi","80",NA,"1980","159 000 km","1 588 cm3","Benzyna","75 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Zielony","Tak","Tak","U¿ywane",NA,"Niemcy","12/12/1980","DW06S",NA,"Tak",NA,NA,"Tak",NA,NA,NA,"B2 (1978-1986)",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA
"1:41","PLN","9 900","Osoby prywatnej","Osobowe","Audi","100",NA,"1983","245 000 km","1 781 cm3","Benzyna","90 KM","Manualna",NA,NA,"Sedan","4",NA,"Z³oty",NA,NA,"U¿ywane",NA,"Niemcy","28/10/1983","CBXL83H",NA,NA,NA,NA,"Tak",NA,NA,NA,"C3 (1982-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:42","PLN","5 200","Osoby prywatnej","Osobowe","Audi","Coupe",NA,"1989","452 760 km","2 226 cm3","Benzyna+LPG","136 KM","Manualna","Na przednie ko³a",NA,"Coupe","2","5","Czarny",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:43","PLN","3 500","Osoby prywatnej","Osobowe","Audi","80","1.8 S","1988","258 700 km","1 781 cm3","Benzyna","90 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Be¿owy",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:44","PLN","5 900","Osoby prywatnej","Osobowe","Audi","80","1.6 D","1987","187 000 km","1 570 cm3","Diesel","54 KM","Manualna",NA,NA,"Sedan","4","5","Inny kolor",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:45","PLN","9 990","Osoby prywatnej","Osobowe","Audi","80",NA,"1984","102 000 km","1 588 cm3","Benzyna","75 KM","Automatyczna","Na przednie ko³a","Tak","Sedan","4","5","Szary","Tak",NA,"U¿ywane",NA,"Niemcy","09/05/1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2 (1978-1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:46","PLN","6 900","Firmy","Osobowe","Audi","80","1.8 S","1990","269 523 km","1 760 cm3","Benzyna","90 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Srebrny","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,"Tak",NA,NA,"Tak","B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:47","PLN","1 800","Osoby prywatnej","Osobowe","Audi","80","1.6","1990","290 000 km","1 595 cm3","Benzyna+LPG","69 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Bordowy","Tak","Tak","U¿ywane",NA,NA,"17/07/1990","WRA24105",NA,NA,NA,NA,"Tak",NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:48","PLN","18 900","Osoby prywatnej","Osobowe","Audi","100",NA,"1970","105 000 km","1 761 cm3","Benzyna","73 KM","Manualna","Na przednie ko³a",NA,"Sedan","3","5","Czerwony",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 (1968-1976)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:49","PLN","6 000","Osoby prywatnej","Osobowe","Audi","80","1.8 S","1988","248 000 km","1 760 cm3","Benzyna","90 KM","Manualna",NA,NA,"Sedan","4",NA,"Niebieski",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:50","PLN","2 000","Osoby prywatnej","Osobowe","Audi","80","1.8 S","1990","320 000 km","1 760 cm3","Benzyna","90 KM","Manualna","Na przednie ko³a","Tak","Sedan","4","5","Bordowy",NA,"Tak","U¿ywane",NA,"Niemcy","05/01/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:51","PLN","6 500","Firmy","Osobowe","Audi","100","1.8 CC","1987","320 116 km","1 781 cm3","Benzyna+LPG","90 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Be¿owy","Tak","Tak","U¿ywane",NA,NA,"31/07/1987","PP17970",NA,"Tak",NA,NA,"Tak",NA,NA,"Tak","C3 (1982-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:52","PLN","10 500","Osoby prywatnej","Osobowe","Audi","100","2.0","1986","99 500 km","1 994 cm3","Benzyna","116 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Z³oty",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,"C3 (1982-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:53","PLN","9 900","Osoby prywatnej","Osobowe","Audi","80",NA,"1990","164 000 km","1 781 cm3","Benzyna","90 KM","Automatyczna","Na przednie ko³a",NA,"Sedan","4","5","Z³oty","Tak","Tak","U¿ywane",NA,"Niemcy",NA,"NKEUK79",NA,NA,NA,NA,"Tak",NA,NA,NA,"B3 (1986-1991)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:54","PLN","19 000","Osoby prywatnej","Osobowe","Audi","80","1.8 S","1991","107 000 km","1 781 cm3","Benzyna","90 KM","Manualna",NA,NA,"Sedan","4",NA,"Czerwony",NA,"Tak","U¿ywane",NA,NA,NA,"cew0977","Tak",NA,NA,NA,"Tak",NA,NA,"Tak","B4 (1991-1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:55","PLN","7 499","Osoby prywatnej","Osobowe","Audi","80","2.0 E","1991","238 790 km","1 984 cm3","Benzyna","90 KM","Manualna","Na przednie ko³a",NA,"Sedan","4","5","Zielony","Tak",NA,"U¿ywane","Tak",NA,NA,NA,"Tak","Tak","Tak",NA,"Tak","Tak",NA,NA,"B4 (1991-1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
